StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,Consent_Form_1,Consent_Form_2,Consent_Form_3,Consent_Form_4,Consent_Form_5,Consent_Form_6,Q54,Q7_First_Click,Q7_Last_Click,Q7_Page_Submit,Q7_Click_Count,Prolific_ID,Well_being_1,Well_being_2,Well_being_3,Well_being_4,Well_being_5,Productivity_1,Productivity_4,Productivity_1.0,Productivity_1.1,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q53_8,Q53_9,Q53_10,Q53_11,Q53_12,Q53_13,Q53_14,Q53_15,Q36_First_Click,Q36_Last_Click,Q36_Page_Submit,Q36_Click_Count,Boredom_1,Boredom_2,Boredom_3,Boredom_4,Boredom_5,Boredom_6,Boredom_7,Boredom_8,Compliance_1,Compliance_2,Compliance_3,Conspiracy_beliefs_1,Conspiracy_beliefs_2,Conspiracy_beliefs_3,Conspiracy_beliefs_4,Conspiracy_beliefs_5,Brief_COPE_1,Brief_COPE_2,Brief_COPE_3,Brief_COPE_4,Brief_COPE_5,Brief_COPE_6,Brief_COPE_7,Brief_COPE_8,Brief_COPE_9,Brief_COPE_10,Brief_COPE_11,Brief_COPE_12,Brief_COPE_13,Brief_COPE_14,Brief_COPE_15,Brief_COPE_16,Brief_COPE_17,Brief_COPE_18,Brief_COPE_19,Brief_COPE_20,Brief_COPE_21,Brief_COPE_22,Brief_COPE_23,Brief_COPE_24,Brief_COPE_25,Brief_COPE_26,Brief_COPE_27,Brief_COPE_28,Q37_First_Click,Q37_Last_Click,Q37_Page_Submit,Q37_Click_Count,psychological_needs_1,psychological_needs_2,psychological_needs_3,psychological_needs_4,psychological_needs_5,psychological_needs_6,psychological_needs_7,psychological_needs_8,psychological_needs_9,psychological_needs_10,psychological_needs_11,psychological_needs_12,psychological_needs_13,psychological_needs_14,psychological_needs_15,psychological_needs_16,psychological_needs_17,psychological_needs_18,Office_set_up_1,Office_set_up_2,Office_set_up_3,communication_1,communication_2,communication_3,Quality_of_Sleep_1,Stress_1,Stress_2,Stress_3,Stress_4,Daily_Routines_1,Daily_Routines_2,Daily_Routines_3,Self_Control_1,Self_Control_2,Self_Control_3,Technological_Skills_1,Volunteering_1,Volunteering_2,Volunteering_3,Extraversion_1,Extraversion_2,Extraversion_3,Extraversion_4,Q38_First_Click,Q38_Last_Click,Q38_Page_Submit,Q38_Click_Count,Diet_1,Diet_2,Distractions_at_home_1,Distractions_at_home_2,Exercising,Exercising.0,Exercising.1,Financial_Situation_1,Financial_Situation_2,Generalized_Anxiety_1,Generalized_Anxiety_2,Generalized_Anxiety_3,Generalized_Anxiety_4,Generalized_Anxiety_5,Generalized_Anxiety_6,Generalized_Anxiety_7,Anxiety_COVID_19_1,Anxiety_COVID_19_2,Loneliness_1,Loneliness_2,Loneliness_3,Loneliness_2_1,Loneliness_2_2,Loneliness_2_3,Mental_exercise_1,Mental_exercise_2,MWMS_1,MWMS_2,MWMS_3,MWMS_4,MWMS_5,MWMS_6,MWMS_7,MWMS_8,MWMS_9,social_contacts_1,social_contacts_2,social_contacts_3,Q41,Q41_6_TEXT,Q43,Q43_3_TEXT,Q45,Q52,Age,Q58,Q59_3,Q59_4,Q59_9,Q59_10,Q59_11,Babies,Toddlers,Children,Teenager,Adults,Q49_1,Q49_2,Q49_3,Q49_4,Income,Time_remote,Q54_1,Q54_2,Q54_3,Q54_1_TEXT,Q54_2_TEXT,Q54_3_TEXT,Q53,IMC1,IMC_FAIL,Test1,Test2,Test3,N1,N2,N3,N4,P1,P2,P3,P4,M1,M2,M3,M4,O1,C1,HE03,HE04,E1,H1,HE07,HE08,HE09,X2,HE11,HE12,O3,C3,A3,X3,HE17,HE18,O4,HE20,A4,HE22,E4,HE24,NCS01,NCS02,NCS03,NCS04,NCS05,NCS06,ProlificID,How_old_are_you,Gender,Country,Country_Other,Degree,Degree_Other,Q9,Q9_19_TEXT,Q17,Q17_23_TEXT,Q18,Q19,Q20,Q21,Q22,Q23,Q23_66_TEXT,Q24,Q24_81_TEXT,Q25,Q25_88_TEXT,Years_IT,Q55,Q56,Q57,A1,X1,O2,C2,A2,E2,H2,E3,H3,C4,X4,H4,NCS03R,NCS04R,M,P,N,H,E,Ext,A,C,O,Nn,OS,G,StartDate2,EndDate2,Status2,Progress2,Duration__in_seconds_2,Finished2,RecordedDate2,ResponseId2,Consent_Form_12,Consent_Form_22,Consent_Form_32,Consent_Form_42,Consent_Form_52,Consent_Form_62,Q542,Q7_First_Click2,Q7_Last_Click2,Q7_Page_Submit2,Q7_Click_Count2,Q622,Well_being_12,Well_being_22,Well_being_32,Well_being_42,Well_being_52,Productivity_12,Productivity_42,Productivity_1.02,Productivity_1.12,Q53_1_2,Q53_22,Q53_32,Q53_42,Q53_52,Q53_62,Q53_72,Q53_82,Q53_92,Q53_102,Q53_112,Q53_122,Q53_132,Q53_142,Q53_152,Q36_First_Click2,Q36_Last_Click2,Q36_Page_Submit2,Q36_Click_Count2,Boredom_12,Boredom_22,Boredom_32,Boredom_42,Boredom_52,Boredom_62,Boredom_72,Boredom_82,Brief_COPE_1.2,Brief_COPE_2.2,Brief_COPE_3.2,Brief_COPE_4.2,Q37_First_Click2,Q37_Last_Click2,Q37_Page_Submit2,Q37_Click_Count2,psychological_needs_1_2,psychological_needs_22,psychological_needs_32,psychological_needs_42,psychological_needs_52,psychological_needs_62,psychological_needs_72,psychological_needs_82,psychological_needs_92,psychological_needs_102,psychological_needs_112,psychological_needs_122,psychological_needs_132,psychological_needs_142,psychological_needs_152,psychological_needs_162,psychological_needs_172,psychological_needs_182,communication_12,communication_22,communication_32,Quality_of_Sleep_12,Stress_12,Stress_22,Stress_32,Stress_42,Daily_Routines_12,Daily_Routines_22,Daily_Routines_32,Extraversion_12,Extraversion_22,Extraversion_32,Extraversion_42,Q38_First_Click2,Q38_Last_Click2,Q38_Page_Submit2,Q38_Click_Count2,Distractions_at_home_12,Distractions_at_home_22,Generalized_Anxiety_12,Generalized_Anxiety_22,Generalized_Anxiety_32,Generalized_Anxiety_42,Generalized_Anxiety_52,Generalized_Anxiety_62,Generalized_Anxiety_72,Loneliness_12,Loneliness_22,Loneliness_32,Q672,Q682,Loneliness_2_12,Loneliness_2_22,Loneliness_2_32,social_contacts_12,social_contacts_22,social_contacts_32,Q64_12,Q64_22,Q522,Q612,Q63_12,Comments2
4/26/2020 8:16:06,4/26/2020 8:39:09,0,100,1383,1,4/26/2020 8:39:10, ,1,1,1,1,1,1,4,38.989,55.061,68.495,7, ,15,17,17,17,16,20,50,90,-60, , , , , , , , , , , , , , , ,12.524,195.364,208.655,34,12,12,15,13,12,12,12,12,7,8,8,12,12,12,11,12,7,5,4,6,7,7,7,4,7,6,6,4,4,7,7,4,6,6,7,8,7,4,5,8,6,4,5,6,6.039,240.405,255.742,63,3,2,4,1,4,1,4,2,2,1,3,2,4,3,4,3,3,1,17,16,17,5,5,4,3,3,4,3,3,2,5,3,4,3,2,27,5,5,3,2,3,4,2,10.041,255.625,450.144,50,3,11,21,23,2,2,1,5,4,9,5,5,9,5,4,4,4,4,38,39,37,39,39,40,16,15,3,2,3,1,3,5,3,3,4,2,3,4,2, ,1, , ,1,49,4, , ,1, ,1, , ,1, ,1, ,1, , ,5,85,1,1,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49,1,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,29.844,42.871,47.671,7,1,16,16,17,19,16,22,50,100,-80, , , , , , , , , , , , , , , ,6.327,183.653,189.013,33,12,13,15,13,12,12,12,12,5,5,4,6,5.237,87.653,89.924,15,4,2,4,1,4,2,5,2,2,1,3,3,4,2,4,1,3,1,4,4,3,4,4,4,3,3,2,6,5,2,4,4,2,12.251,199.619,207.278,44,21,23,9,5,5,9,4,4,4,38,41,37,4,Extroverts need more attention from others - which the current pandemic deprives them of.,39,39,40,5,5,2,4,3,1,3,100,"Feeling frustrated, mainly with the lack of strong measures taken by my government, and lack of faith in their 'solutions' that are being planned."
4/26/2020 9:20:00,4/26/2020 9:36:06,0,100,966,1,4/26/2020 9:36:07, ,1,1,1,1,1,1,4,9.184,19.413,20.794,7, ,17,18,18,18,17,27,38,100,-38, , , , , , , , , , , , , , , ,6.801,130.326,132.591,31,12,13,15,12,13,12,12,12,7,8,8,16,15,14,12,14,5,5,4,4,4,4,6,4,4,4,4,5,4,6,5,4,6,5,4,5,5,4,4,6,5,4,4,4,7.702,302.038,303.627,44,3,2,3,1,3,1,3,1,3,1,3,3,4,3,3,2,3,2,17,17,16,4,5,4,4,1,5,4,2,6,1,7,3,4,1,27,1,7,2,3,2,3,4,9.247,201.734,203.43,45,13,13,21,22,0,1,0,8,8,4,4,4,4,1,4,4,4,4,37,37,37,40,40,40,13,13,1,1,1,1,1,1,4,4,4,4,4,4,2, ,3,portugal, ,1,45,4,1,1,1,1,1,0,0,1,1,2, ,1, , ,6,10,1,1,1,0,0,0,no, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,45,1,3,portugal,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,4.233,11.656,13.693,7,1,16,17,17,17,17,18,40,10,-90, , , , , , , , , , , , , , , ,5.394,116.777,118.674,21,12,11,12,14,11,12,12,12,4,4,6,4,6.846,62.387,63.338,12,2,3,2,1,2,1,2,2,2,1,3,2,4,2,3,1,2,1,3,3,2,1,2,5,4,2,2,1,6,2,3,1,3,4.917,156.421,157.406,40,24,21,9,9,9,9,1,9,1,37,37,37,3,"it depends on the family and friends contacts that everyone is capable to do, sleep habits and other aspects that may interfere with everyone",40,40,39,5,5,5,5,5,3,1,0,"i'm supporting children with remote lessons and it consumes much time that i can't put on my work. also, i go to sleep very late and wake late too."
4/26/2020 7:52:17,4/26/2020 8:06:23,0,100,845,1,4/26/2020 8:06:23, ,1,1,1,1,1,1,4,8.63,19.094,20.229,8, ,19,19,19,18,17,43,40,100,0, , , , , , , , , , , , , , , ,4.138,119.426,133.861,35,12,12,12,12,12,12,12,11,6,8,8,12,12,11,15,11,7,5,4,4,5,6,6,4,7,5,4,6,7,5,7,6,7,6,6,7,7,4,5,7,4,5,4,5,9.615,206.966,207.56,58,4,2,4,2,3,2,4,4,4,4,3,3,4,3,3,3,4,2,17,17,17,5,5,5,5,2,3,3,2,6,2,6,4,2,1,28,1,6,5,2,1,3,4,4.514,205.662,206.354,64,11,11,21,24,0,1.5,0,7,7,5,4,4,4,4,5,1,2,3,38,37,37,40,38,41,17,12,4,3,4,4,4,2,5,5,5,4,4,6,2, ,3,Hungary, ,1,36,4,1,1,1,1,1,0,0,2,0,1, ,1, , ,6,20,1,1,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36,1,3,Hungary,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,34.5,39.012,45.122,7,1,19,19,19,20,19,43,40,100,0, , , , , , , , , , , , , , , ,2.272,75.686,77.469,18,13,13,12,13,13,12,11,11,5,7,5,7,3.706,58.923,59.637,19,3,1,3,1,2,1,3,2,3,2,3,2,3,3,2,2,3,2,5,6,5,5,2,3,3,3,2,2,4,2,1,2,3,3.932,171.224,171.976,67,21,23,5,5,5,5,4,5,1,38,37,38,4,I'm an introverted person and it's like heaven for me: there's nobody around me but my family.,37,39,40,5,5,5,5,5,1,2,5,"It's OK, really. It's because I'm introverted and I'm really bad in any kind of social interactions."
4/27/2020 12:34:21,4/27/2020 13:04:03,0,100,1782,1,4/27/2020 13:04:03, ,1,1,1,1,1,1,4,4.56,49.619,50.662,17, ,17,19,20,19,18,40,40,75,8, , , , , , , , , , , , , , , ,35.581,351.473,352.302,80,16,13,14,15,13,12,12,11,8,8,7,11,11,11,11,11,5,5,4,6,5,5,5,4,4,6,6,5,4,4,6,4,5,6,6,7,5,4,5,7,6,4,4,6,20.356,380.536,382.717,100,3,3,2,1,2,1,3,2,3,1,2,2,2,4,2,1,2,2,17,17,15,4,3,5,2,3,4,3,4,6,5,5,3,4,2,28,1,3,5,2,2,4,2,14.098,492.244,494.147,88,3,12,21,22,0,0,2,10,10,1,1,5,4,4,1,1,2,3,38,40,37,39,39,38,16,11,4,4,3,3,3,3,4,4,5,3,4,1,2, ,1, , ,1,27,4,1,1,1,1,1,0,0,0,0,1, ,1, , ,7,16,1,1,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26,1,9, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/26/2020 11:00:45,4/26/2020 11:10:59,0,100,614,1,4/26/2020 11:11:00, ,1,1,1,1,1,1,4,67.91,84.069,85.038,7, ,19,20,20,21,17,40,40,90,0, , , , , , , , , , , , , , , ,5.928,87.137,88.747,32,11,11,13,11,16,11,11,11,8,8,8,11,11,11,11,11,4,4,4,4,5,4,7,4,5,4,4,6,4,6,7,4,6,5,6,8,5,6,4,8,4,4,5,4,3.219,94.027,94.781,49,5,1,5,1,5,1,2,1,1,1,3,1,5,3,4,3,3,1,17,17,17,5,6,5,6,1,5,5,1,7,7,7,4,3,1,28,1,6,6,1,2,3,1,13.242,126.666,127.364,51,13,12,20,20,2,2.5,0,9,9,4,1,1,1,1,1,1,4,2,37,37,37,41,41,41,15,13,1,1,6,7,6,5,1,1,1,6,5,6,2, ,2, ,45,1,41,4, , , ,1, , , , ,1, , ,1, , ,8,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41,1,10, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,4.293,7.94,8.793,7,1,21,20,20,20,20,40,40,100,0, , , , , , , , , , , , , , , ,1.434,67.538,68.989,30,11,11,16,11,15,11,11,11,4,4,4,4,1.691,27.314,28.436,14,5,1,5,1,4,1,1,1,1,1,3,1,4,1,3,2,2,1,2,4,4,6,4,5,3,1,7,7,7,1,2,3,1,1.769,63.748,64.459,35,20,24,4,1,1,1,1,1,1,37,37,37,4,Extroverts love to be the center of attention and around people.  That is difficult when you are just at home.,41,41,41,6,6,6,5,5,1,3,0,I'm doing ok.  I'm frustrated in seeing people being more free with their activities and getting together than they should at this time.
4/26/2020 9:21:55,4/26/2020 9:31:45,0,100,590,1,4/26/2020 9:31:46, ,1,1,1,1,1,1,4,22.171,25.39,26.166,7, ,15,16,16,15,18,40,40,100,-30, , , , , , , , , , , , , , , ,7.408,149.066,149.638,34,12,11,15,14,15,11,11,11,7,6,7,11,11,11,11,11,8,4,4,8,6,6,6,4,6,6,8,4,6,6,6,6,5,6,8,8,8,4,6,8,6,5,4,4,2.728,102.086,102.79,51,3,3,3,1,2,2,3,4,1,3,2,3,4,5,2,3,2,1,16,17,16,4,6,4,4,5,3,3,4,4,1,6,3,3,2,28,1,1,3,1,1,3,1,3.789,108.802,109.225,47,2,12,21,21,1,1,0,9,9,9,9,1,9,9,9,9,5,3,40,40,37,38,40,40,13,11,7,7,7,7,7,7,4,3,4,4,6,1,2, ,2, ,5,1,35,4,1,1,1,1,1,0,0,0,0,1, ,1, , ,9,100,1,1,1,4,0,0,"I was guessing about how many flights - I don't actually recall exactly how many trips there have been in the past 12 months, I don't keep track of that.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1,10, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,1.749,4.6,6.719,7,1,15,15,16,15,18,40,40,100,-25, , , , , , , , , , , , , , , ,1.668,118.468,118.838,26,11,11,15,11,14,14,11,11,6,6,6,6,2.318,28.331,29.149,13,4,3,4,1,3,3,3,3,3,3,3,3,3,5,3,3,3,3,6,6,6,5,5,3,3,4,5,1,6,1,1,3,2,2.484,73.367,74.067,37,21,21,9,9,1,9,1,9,10,40,39,37,4,"That's pretty obvious - people who like having other people around constantly, will be constantly disappointed, while people who only sometimes like having people around, will only sometimes be disapp",39,41,40,6,6,1,5,5,1,3,0,"since this was wave two, you probably already asked me this last time, and it hasn't really changed much"
4/26/2020 9:51:59,4/26/2020 10:03:43,0,100,704,1,4/26/2020 10:03:44, ,1,1,1,1,1,1,4,6.69,14.488,15.45,8, ,20,20,21,21,20,42,36,80,-29, , , , , , , , , , , , , , , ,4.492,126.589,132.613,31,13,12,16,12,16,12,12,12,8,8,7,14,15,15,11,12,5,8,4,6,5,5,8,4,5,5,6,4,7,7,5,4,4,6,6,8,7,4,4,8,7,4,4,5,3.297,168.157,169.848,76,3,1,2,2,2,2,3,4,3,2,3,4,4,3,1,3,2,2,12,16,12,4,5,4,3,3,5,3,3,6,2,6,4,4,1,26,3,3,5,2,4,3,4,5.301,145.811,147.342,62,3,13,20,23,3,0,0,9,7,5,1,9,1,1,10,1,3,3,38,38,39,37,37,38,16,16,4,5,7,5,6,6,2,2,2,5,5,5,2, ,1, , ,1,44,3, , , , , , , , , , , ,1, , ,8,25,1,1,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44,1,9, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,6.895,12.028,15.244,7,1,19,20,21,20,20,40,35,97,23, , , , , , , , , , , , , , , ,1.869,126.497,130.818,30,12,11,16,11,15,12,12,11,5,7,4,6,2.053,40.875,41.784,21,2,1,1,1,1,1,4,1,2,2,3,2,4,4,2,3,2,2,5,5,5,3,3,4,3,3,7,7,7,4,4,3,4,3.816,103.56,104.437,51,20,23,5,1,5,4,1,5,1,37,38,37,4,Extroverts need people more than introverts do,39,38,39,4,4,5,5,6,1,3,0,"Lack of a good setup at home (big enough desk, enough monitors) is an issue for me"
4/26/2020 7:44:50,4/26/2020 7:57:04,0,100,733,1,4/26/2020 7:57:04, ,1,1,1,1,1,1,4,2.13,20.787,22.732,22, ,20,21,20,20,21,39,39,100,50, , , , , , , , , , , , , , , ,1.322,117.53,118.878,71,11,11,12,11,11,11,11,11,8,8,8,14,12,12,11,12,6,6,6,4,4,4,7,4,6,4,4,5,4,5,6,4,6,5,6,8,4,4,4,7,5,4,4,4,.991,234.756,235.482,97,3,1,5,1,4,1,4,1,4,1,4,1,5,1,4,1,4,1,16,17,17,4,6,6,7,1,5,4,2,7,4,5,5,1,1,28,1,4,6,3,3,3,1,3.118,149.509,150.218,123,14,14,20,24,6,1,0,9,10,1,1,1,1,1,1,1,4,3,37,37,37,40,41,41,14,15,2,4,2,2,4,1,4,4,4,4,4,5,2, ,1, , ,1,34,4,1,1,1,1,1,0,0,0,0,2, ,1, , ,7,15,1,1,1,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,9.795,21.606,22.535,17,1,17,20,20,20,18,39,38,85,67, , , , , , , , , , , , , , , ,1.814,88.344,89.813,65,11,11,13,12,11,12,11,11,4,5,4,4,1.072,43.791,44.295,34,3,1,3,1,3,1,5,1,4,1,5,1,5,1,5,2,3,1,4,4,5,7,1,1,5,1,7,7,7,1,3,3,1,1.291,99.727,100.535,80,20,24,1,1,1,1,1,1,1,37,37,37,4,They are used to socialising and going to crowded places much more often than introverts.,41,41,41,6,6,6,5,5,1,3,0,I am feeling content in how things have settled down and now the prospect of being allowed more exercise.
4/26/2020 7:42:45,4/26/2020 7:57:42,0,100,896,1,4/26/2020 7:57:42, ,1,1,1,1,1,1,4,0,0,53.271,0, ,16,16,16,17,16,45,45,100,0, , , , , , , , , , , , , , , ,100.232,142.311,144.029,16,15,13,16,16,16,16,16,12,2,8,7,12,12,12,12,12,4,4,4,4,4,6,4,4,7,4,4,4,6,4,4,6,4,4,4,8,7,4,4,8,4,4,4,4,71.04,207.831,208.793,45,3,1,2,4,2,3,5,3,2,1,4,1,3,3,2,4,2,3,16,16,12,3,5,4,4,2,2,2,3,7,7,7,2,5,2,27,1,5,3,3,2,2,4,6.362,237.592,245.824,50,3,11,21,23,7,0,0,4,4,5,5,5,5,1,9,5,5,5,37,37,37,38,38,40,15,15,3,3,3,3,3,3,2,1,2,2,2,5,2, ,1, , ,1,62,4,1,1,1,1,1,0,0,0,0,1, ,1, , ,6,100,1,1,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61,1,9, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,15.78,26.539,27.905,7,1,16,16,16,16,16,45,45,90,0, , , , , , , , , , , , , , , ,2.181,102.141,113.527,22,12,12,15,16,16,14,14,12,4,8,4,8,2.808,47.056,48.215,13,2,1,3,3,2,3,4,1,2,1,4,1,3,4,2,3,3,2,5,5,5,4,2,2,2,4,6,6,6,3,2,2,4,8.475,100.099,101.211,42,21,23,1,10,10,9,1,10,9,40,37,37,4,"I think extroverts will miss being around other people but introverts wouldn't, therefore, extroverts will struggle more.",39,39,39,3,4,5,5,5,1,3,0, 
4/27/2020 0:32:43,4/27/2020 0:59:15,0,100,1592,1,4/27/2020 0:59:16, ,1,1,1,1,1,1,4,22.042,24.63,27.045,7, ,15,16,16,16,15,41,43,100,0, , , , , , , , , , , , , , , ,2.199,493.866,494.792,33,11,11,14,12,11,11,11,11,8,8,8,11,11,11,11,11,6,7,4,4,8,4,7,4,7,7,4,7,4,7,8,4,4,4,7,8,8,4,7,6,6,4,6,4,3.697,234.061,234.861,50,5,3,5,1,4,2,5,1,4,1,5,1,3,5,2,3,3,4,17,17,17,5,5,5,4,4,3,2,3,1,5,6,5,1,1,28,1,5,7,1,2,5,3,3.348,260.474,261.246,57,11,14,20,24,2,5.5,2,4,4,9,5,5,5,5,4,5,5,5,37,39,37,41,41,41,17,15,2,2,1,6,6,7,4,4,4,5,5,5,2, ,2, ,42,3,37,4,1,1,1,1,1,0,0,0,0,1, ,1, , ,7,16,1,1,1,3,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37,1,10, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4,2.397,5.009,5.818,7,1,15,16,16,16,15,40,42,100,0, , , , , , , , , , , , , , , ,1.724,61.818,62.553,29,11,14,13,12,11,14,12,11,4,4,4,4,105.028,132.996,133.501,19,5,3,5,1,4,1,5,3,4,1,4,1,2,5,3,2,3,4,5,5,5,3,3,3,2,3,4,4,4,1,3,5,3,101.835,380.138,381.978,41,20,21,9,5,5,5,1,4,5,38,38,37,3,The troubles with the pandemic are that people are dying.  That affects everyone equally.  I'm not even certain what this question is but it's kind of offensive.,41,41,41,6,6,3,6,6,3,1,0,No.
